frame,vehicle_type
frame_3030.jpg,person
frame_3030.jpg,person
frame_3030.jpg,traffic light
frame_3030.jpg,car
frame_3030.jpg,car
frame_3060.jpg,person
frame_3060.jpg,car
frame_3060.jpg,car
frame_3060.jpg,traffic light
frame_3060.jpg,car
frame_3060.jpg,car
frame_3060.jpg,car
frame_3060.jpg,person
frame_3060.jpg,car
frame_3060.jpg,person
frame_3060.jpg,person
frame_3060.jpg,car
frame_3060.jpg,traffic light
frame_3060.jpg,traffic light
frame_3060.jpg,car
frame_3060.jpg,truck
frame_3060.jpg,traffic light
frame_3060.jpg,person
frame_3060.jpg,person
frame_3090.jpg,person
frame_3090.jpg,traffic light
frame_3090.jpg,person
frame_3090.jpg,car
frame_3090.jpg,car
frame_3090.jpg,car
frame_3090.jpg,car
frame_3090.jpg,car
frame_3090.jpg,car
frame_3090.jpg,person
frame_3090.jpg,traffic light
frame_3090.jpg,person
frame_3090.jpg,person
frame_3090.jpg,car
frame_3090.jpg,car
frame_3090.jpg,car
frame_3120.jpg,person
frame_3120.jpg,car
frame_3120.jpg,person
frame_3120.jpg,car
frame_3120.jpg,car
frame_3120.jpg,car
frame_3120.jpg,car
frame_3120.jpg,person
frame_3120.jpg,car
frame_3120.jpg,car
frame_3120.jpg,truck
frame_3120.jpg,person
frame_3120.jpg,person
frame_3120.jpg,person
frame_3120.jpg,car
